Ward_name,Price,Schools_number,Crimes_number
St Michael's,340466,0,6821
Springfield,438375,12,2334
Shirley,385923,6,3341
Northfield,666598,3,2752
Longbridge,357157,5,3216
Greenhill,347223,10,2549
Abbey,213651,11,1713
Westbourne,682486,6,110
Westbourne,682486,6,892
West Green,414154,6,1228
Southgate,469008,7,964
River,245151,6,1381
Queens Park,1002505,10,163
Mayfield,373610,6,58
Manor,439291,4,256
Hillside,858262,8,276
Eastbrook,287247,3,392
Churchill,1137519,5,385
Sudbury,338553,2,3382
Heath,254449,7,356
Town,400980,13,1391
Seven Sisters,464705,5,109
Heath,254449,7,1258
Ferndale,549258,2,246
St Ann's,431753,0,2483
Valley,324900,3,86
Tudor,726628,3,272
Yiewsley,288634,9,1986
Yeading,304290,1,1833
Wormholt and White City,637347,7,1501
Worcester Park,353442,3,714
Woolwich Riverside,361749,10,4207
Woolwich Common,305994,5,2316
Woodside,294751,10,2115
Woodside,294751,10,3716
Woodhouse,492090,7,1735
Woodberry Down,456888,0,1430
Wood Street,442416,8,1499
Winchmore Hill,620885,7,933
Wimbledon Park,819777,1,860
William Morris,409832,2,1406
Willesden Green,461447,7,2295
Whitton,469820,3,769
Whitefoot,312060,6,1570
Whitechapel,681299,16,3993
White Hart Lane,308997,4,1973
Whalebone,260261,2,1412
Westbourne,682486,6,2720
West Wickham,507101,5,721
West Twickenham,527231,3,707
West Thornton,282660,4,2345
West Ruislip,443143,5,1063
West Putney,767962,7,1165
West Hill,542929,12,1051
West Hendon,457444,10,2683
West Harrow,442995,3,565
West Hampstead,764907,0,1628
West Ham,346455,4,1582
West Green,414154,6,3048
West Finchley,545011,6,1672
West Drayton,329428,4,1937
West Barnes,546794,3,801
Wembley Central,349523,5,2784
Welsh Harp,396847,5,1546
Weavers,655271,7,3296
Wealdstone,347994,5,1159
Warwick,1069727,3,1434
Wandsworth Common,993069,6,1177
Wandle Valley,264395,5,951
Walpole,684845,3,1392
Wallington South,332766,1,777
Wallington North,337097,4,820
Wall End,291813,4,1227
Waddon,285605,11,2241
Vincent Square,1195539,9,2595
Village,224055,17,663
Village,224055,17,2027
Victoria,612380,4,1946
Vassall,543018,7,1693
Valley,324900,3,1691
Valentines,317840,10,1811
Valence,258895,3,956
Uxbridge South,332008,5,1398
Uxbridge North,409225,5,1377
Upper Edmonton,298322,5,3569
Upminster,491744,11,943
Underhill,518872,5,1385
Twickenham Riverside,788561,2,1194
Turkey Street,290437,5,1775
Tulse Hill,565188,4,1818
Tudor,726628,3,807
Trinity,663395,3,1310
Townfield,302910,6,2189
Totteridge,784917,9,970
Tottenham Hale,309956,7,3469
Tottenham Green,392412,3,3852
Tooting,574345,7,2033
Tollington,575800,5,1748
Tokyngton,370024,2,2552
Thurlow Park,557518,5,1410
Thornton Heath,289470,5,1943
Thornton,595267,10,979
The Wrythe,311120,4,825
Thamesmead Moorings,241344,7,2064
Thamesmead East,220264,8,1307
Thamesfield,875019,6,1828
Thames,226531,8,1893
Telegraph Hill,497145,7,1446
Teddington,740779,4,818
Tachbrook,995347,3,732
Syon,450491,7,1915
Sydenham,416719,6,1547
Swiss Cottage,1768072,7,1381
Sutton West,358708,4,750
Sutton South,317126,2,547
Sutton North,349105,4,774
Surrey Docks,476067,4,1038
Surbiton Hill,529428,8,599
Sudbury,338553,2,4535
Stroud Green,624455,3,983
Streatham Wells,397808,7,1304
Streatham South,460764,3,1481
Streatham Hill,528174,1,1565
Stratford and New Town,373937,13,7058
Stonecot,389194,4,680
Stonebridge,352712,7,2986
Stoke Newington,693113,0,1742
Stockwell,560390,3,1854
Stepney Green,403593,0,1506
Stanmore Park,791168,4,879
Stanley,1846611,4,1498
Stamford Hill West,553948,0,816
St Peter's,865228,0,3961
St Peter's,865228,0,5599
St Pancras and Somers Town,873379,0,4922
St Mary's Park,780064,0,1498
St Mary's,423392,0,2187
St Mark's,489308,0,1130
St Leonard's,504890,0,2250
St Katharine's and Wapping,663404,0,2023
St James,518335,0,451
St Helier,335907,0,1250
St Helier,335907,0,2162
St Helen's,956440,0,868
St George's,667612,0,1306
St George's,667612,0,2805
St Dunstan's,394330,0,1646
St Ann's,431753,0,4488
St Andrew's,313737,0,1388
Squirrel's Heath,357425,8,870
Springfield,438375,12,4238
Spitalfields and Banglatown,473903,6,4508
Southgate Green,620749,5,1453
Southgate,469008,7,2608
Southfields,631576,6,1607
Southfield,882117,2,1029
Southbury,332008,8,2084
Southall Green,265123,3,1898
Southall Broadway,287680,6,2434
South Twickenham,607025,11,636
South Ruislip,388084,4,1204
South Richmond,1142745,7,2166
South Norwood,333655,5,1989
South Hornchurch,278368,6,1382
South Bermondsey,378958,3,1775
South Acton,595559,8,2215
Sidcup,350561,7,1463
Shortlands,557513,3,448
Shooters Hill,340871,6,1083
Shepherd's Bush Green,690603,6,4357
Shaftesbury,808708,7,1521
Shadwell,748705,9,2335
Shacklewell,575906,0,1064
Seven Sisters,464705,5,2186
Seven Kings,328235,8,1447
Selhurst,267076,11,1655
Sands End,1197270,5,1257
Sanderstead,475337,5,571
Rushey Green,340356,4,1663
Royal Hospital,2229035,2,1837
Royal Docks,377807,3,1427
Roxeth,365487,3,1020
Roxbourne,324630,4,1094
Rotherhithe,506672,6,2384
Romford Town,286754,6,4568
River,245151,6,2721
Regent's Park,1429751,5,1549
Regent's Park,1429751,5,5805
Redcliffe,1501843,3,1049
Raynes Park,719839,7,716
Rayners Lane,437260,2,654
Ravenscourt Park,1000813,10,1394
Ravensbury,345992,5,937
Rainham and Wennington,272136,4,1333
Queenstown,752694,7,1997
Queensbury,400657,8,773
Queensbury,400657,8,2547
Queens Park,1002505,10,1949
Queen's Park,642058,5,1342
Queen's Gate,2809175,5,1205
Prince's,655353,2,2208
Preston,415053,7,1430
Poplar,353899,0,1195
Ponders End,280229,9,2348
Pollards Hill,308137,4,751
Plumstead,286971,5,1974
Plaistow and Sundridge,471095,5,1235
Plaistow South,307888,3,2102
Plaistow North,330255,7,1433
Pinner South,574900,8,461
Pinner,622679,1,824
Pinkwell,327245,3,1570
Petts Wood and Knoll,530852,4,775
Pettits,407693,7,723
Perry Vale,457020,6,1348
Perivale,412534,4,1412
Peninsula,462255,5,3800
Penge and Cator,429828,8,2405
Pembridge,1759388,6,1311
Peckham Rye,543058,5,775
Peckham,344580,3,1648
Parsons Green and Walham,1288258,3,1477
Parsloes,245967,2,755
Palmers Green,456504,3,1526
Palace Riverside,1217825,4,696
Oval,776322,10,3067
Osterley and Spring Grove,435004,2,1707
Orpington,398120,6,1676
Old Malden,461183,3,513
Oakleigh,593138,5,1114
Notting Dale,789114,0,1433
Norwood Green,464416,9,1932
Northwood Hills,490380,8,904
Northwood,761453,10,762
Northwick Park,544762,3,1150
Northumberland Park,268893,13,3222
Northumberland Heath,311903,4,778
Northolt West End,291891,7,1912
Northolt Mandeville,335278,4,1654
Northfield,666598,3,3642
Northcote,947178,9,2584
North Richmond,763330,3,992
North Greenford,372229,5,866
North End,252555,6,1505
Norland,3191496,9,719
Norbiton,431150,3,1049
Nonsuch,457136,3,788
Noel Park,438316,3,4003
Nightingale,814664,6,1520
Newington,468398,3,1219
Newbury,339579,5,1167
New Cross,368821,4,2692
Muswell Hill,874457,1,1300
Munster,987567,4,806
Mottingham and Chislehurst North,325343,6,1229
Mortlake and Barnes Common,858377,3,868
Monkhams,610104,7,705
Mill Hill,667262,15,1847
Mile End,403554,0,2849
Mildmay,706771,4,1427
Middle Park and Sutcliffe,462704,10,1183
Merton Park,632724,6,859
Mayfield,373610,6,1231
Mayesbrook,247958,4,1039
Mawneys,293445,3,1052
Marylebone High Street,2318674,11,2775
Marlborough,379540,2,1273
Markhouse,420356,7,2049
Mapesbury,643796,2,1878
Manor Park,307797,6,1618
Manor,439291,4,996
Maida Vale,892858,5,839
Loxford,270426,3,2144
Lower Morden,375481,3,420
Lower Edmonton,286409,5,1736
Longthornton,349970,2,765
Longlands,350920,3,431
Longbridge,357157,5,4227
London Fields,767740,0,2135
Little Venice,1327181,4,1298
Little Ilford,259351,5,1546
Limehouse,607004,4,937
Leytonstone,400820,3,1763
Leyton,374804,5,1962
Lewisham Central,340517,6,2661
Lee Green,488460,6,1413
Lea Bridge,539621,4,2281
Lavender Fields,312466,2,884
Latchmere,527693,6,1883
Larkswood,375027,4,963
Larkhall,612644,3,2349
Lansbury,351705,0,2461
Lancaster Gate,1133295,3,3018
Ladywell,482958,2,1331
Lady Margaret,352429,2,893
Knightsbridge and Belgravia,4168373,3,1866
Knight's Hill,464938,4,1532
King's Park,511908,5,1288
King's Cross,576929,1,2892
Kilburn,599224,11,2044
Kilburn,599224,11,4420
Kidbrooke with Hornfair,344203,4,1390
Kew,923739,7,1010
Kenton West,508673,2,573
Kenton East,408548,4,665
Kenton,530998,5,911
Kentish Town,815568,7,2097
Kensal Green,664368,4,2124
Kenley,429128,7,453
Kelsey and Eden Park,526971,6,1589
Junction,580392,7,2544
Jubilee,298257,7,1390
Isleworth,392220,5,1136
Island Gardens,472388,0,1034
Ickenham,613507,4,594
Hylands,348224,5,1022
Hyde Park,1191938,2,4331
Hoxton West,762933,0,2074
Hoxton East and Shoreditch,680749,0,4899
Hounslow West,316623,5,1785
Hounslow South,436413,2,652
Hounslow Heath,304805,5,1609
Hounslow Central,316145,5,1299
Hornsey,540109,8,1752
Homerton,497296,0,2523
Holloway,540948,2,2069
Holland,1945931,2,1021
Holborn and Covent Garden,959145,5,6866
Hoe Street,453926,2,1829
Hobbayne,471537,6,1124
Hillside,858262,8,1077
Hillrise,580581,4,1293
Hillingdon East,353540,7,979
Highlands,437548,3,851
Highgate,1262835,11,1144
Highgate,1262835,11,2379
Highbury West,702916,4,2598
Highbury East,850683,5,1289
Higham Hill,359648,8,1544
High Street,409196,5,3049
High Barnet,543839,8,1406
Heston West,314825,2,1543
Heston East,345223,6,1322
Heston Central,359304,4,1187
Herne Hill,578810,4,1972
Hendon,546664,15,1881
Heaton,275619,5,1476
Heathrow Villages,270699,4,2153
Heathfield,314732,14,730
Heath,254449,7,2382
Headstone South,415347,1,786
Headstone North,501187,5,695
Hayes and Coney Hall,499601,9,958
Haverstock,766830,4,1721
Havering Park,308667,6,931
Hatch Lane,381193,6,903
Hatch End,585356,4,625
Haselbury,300857,8,1589
Harrow on the Hill,458353,8,1148
Harrow Weald,517217,2,771
Harrow Road,619328,2,1475
Harringay,539329,3,1874
Harold Wood,317229,2,1117
Harlesden,403956,6,3173
Harefield,398221,3,637
Hanworth Park,297039,8,1541
